Y,X,Z
-13.2612496,-43.4053637,0.200112
-29.156149,-51.1734635,0.201728
-1.3658422,-48.4191757,0.2022
-11.5329593,-61.0167293,0.202272
-6.3480548,-47.3906274,0.202707
-21.7256844,-51.019903,0.202708
-15.6158788,-56.0720511,0.202865
-31.3243814,-54.1036816,0.203041
-26.2311189,-52.679375,0.204602
-20.172567,-40.2449678,0.205629
-16.7246347,-43.8792457,0.205785
-22.7097466,-46.7833163,0.205821
-16.1636395,-42.2951545,0.20637
-19.6803736,-51.1824422,0.206502
-19.4493869,-44.2297862,0.206948
-27.5806027,-48.6546962,0.207194
-9.9681703,-67.8374863,0.208657
-16.7084021,-49.2900314,0.209226
-4.5674183,-44.6064596,0.20939
-2.9237016,-41.748236,0.209434
-14.6659919,-52.3558415,0.209622
-23.5517281,-51.4515616,0.209766
-22.8417119,-42.2195806,0.209771
-5.5192044,-47.4668048,0.210496
-7.1026906,-49.9438302,0.210601
-26.0647342,-53.0526714,0.211
-19.5330902,-40.6443353,0.213069
-29.1388118,-56.5486224,0.213686
-25.747527,-53.0647333,0.214361
-8.0370481,-34.9337695,0.215243
-15.3200881,-49.1222025,0.215526
-29.7034629,-53.7828304,0.215615
-7.63941,-34.8217504,0.215955
-23.1945763,-46.8722615,0.216154
-21.7484191,-43.366925,0.216235
-5.1110158,-42.7818578,0.217924
-21.1226784,-56.4892463,0.218318
-24.550057,-54.062153,0.218853
-29.2249954,-51.3392092,0.219055
-20.8436965,-41.1400907,0.219914
-4.1293651,-38.2429107,0.22064
-26.2433358,-49.3787786,0.220664
-15.478727,-44.3713425,0.221606
-24.0914185,-54.2509811,0.22192
-29.7926051,-55.7806094,0.222209
-15.0685786,-57.1909659,0.223181
-29.9231153,-51.1781614,0.223272
-4.1047045,-38.4953605,0.223622
-22.9674444,-46.9914369,0.223901
-18.8743414,-41.9664846,0.224565
-22.5164878,-44.0938841,0.224671
-27.0057339,-51.1499418,0.224841
-29.8370339,-51.1524577,0.225552
-23.2068337,-47.5241531,0.225598
-25.8015031,-48.5299681,0.22562
-26.7348523,-53.5195635,0.226028
-23.0085873,-46.8412547,0.226155
-25.9020462,-48.5865869,0.226752
-20.3439314,-40.3537045,0.227147
-14.7922937,-39.275604,0.227983
-27.640703,-52.272457,0.228494
-27.5926171,-48.5475875,0.229721
-12.8279728,-38.2555841,0.230001
-3.4923739,-39.5855038,0.230203
-1.1974843,-47.1761231,0.230794
-25.4955332,-54.5472752,0.231382
-29.9321671,-51.0302818,0.231752
-22.9983367,-47.5040299,0.231912
-26.2485493,-49.5173348,0.233058
-0.6317756,-47.3445068,0.234026
-22.8290711,-43.2925413,0.234515
-2.4511781,-54.7204234,0.235046
-21.12234,-44.2493905,0.235213
-25.2895082,-54.0992747,0.235223
-2.5414181,-44.2297116,0.235346
-27.9020281,-53.3071835,0.235648
-4.1787539,-38.4626319,0.235927
-14.8084248,-39.0448509,0.237149
-28.2965642,-54.2545961,0.237545
-20.6597273,-40.4966046,0.238076
-28.299681,-52.7935606,0.240021
-3.7945179,-38.5697988,0.241077
-29.7469625,-51.1510962,0.241521
-3.7687845,-49.6787824,0.242237
-1.0549764,-46.7736469,0.242654
-28.6393723,-53.5996677,0.242964
-18.514203,-54.74573,0.244365
-9.4233111,-61.9982274,0.244786
-14.0660111,-42.4871819,0.244852
-12.9152342,-38.4243366,0.245034
-26.1140434,-49.8020862,0.24597
-29.7316745,-52.4266653,0.246806
-23.1307213,-46.5611409,0.24819
-23.085093,-46.9616537,0.249287
-21.4790261,-56.1503439,0.251925
-23.2685734,-47.2973777,0.252961
-3.7295748,-43.3495148,0.256429
-3.0461334,-60.0071168,0.259129
-29.4717115,-51.9731064,0.260232
-27.2303859,-52.0283546,0.262754
-19.7609932,-44.0773107,0.264089
-26.0763741,-48.610404,0.264473
-28.6491614,-56.0105471,0.264576
-22.8673489,-42.3375012,0.267301
-7.8456506,-34.9130662,0.267453
-16.0780093,-57.67868,0.268454
-29.1653559,-51.5117531,0.270241
-28.3892446,-53.9135666,0.270389
-12.609399,-38.3058889,0.271786
-22.8703399,-43.7874793,0.274456
-15.8884818,-52.2781862,0.276676
-19.0242272,-57.6346059,0.276688
-27.8665863,-54.4606219,0.277306
-1.7252778,-48.8742001,0.281077
-4.8611412,-43.3487235,0.281402
-1.5133467,-48.6151658,0.281686
-30.0825339,-51.1274007,0.284944
-23.0411058,-46.9968657,0.288128
-20.4734009,-55.7911585,0.290933
-29.639773,-50.9941269,0.291726
-17.8637422,-41.5045224,0.29227
-7.7646455,-34.8361485,0.293223
-29.6773542,-51.120725,0.296178
-9.0683788,-44.3619762,0.30013
-27.1731951,-51.504377,0.302046
-23.2964249,-46.7283542,0.306101
-22.7292927,-46.9009848,0.306501
-1.5206713,-48.6948113,0.310662
-22.9124236,-42.829311,0.331781
-6.7710743,-43.0189593,0.333155
