Y,X,Z
-31.7298705,-52.340966,0.150211
-21.2786688,-50.3430422,0.151014
-22.3556481,-47.365015,0.151043
-29.1081721,-49.6334182,0.151478
-17.8792302,-51.7180954,0.151553
-10.2428156,-54.9911468,0.15163
-24.7934694,-50.0015567,0.151982
-11.4275173,-58.7657954,0.152098
-7.2435431,-39.3114169,0.152639
-21.7951646,-46.5498488,0.152648
-11.9295177,-61.9957356,0.15273
-4.783026,-48.0758433,0.153238
-10.7742204,-65.3216721,0.153418
-7.8441003,-35.2493495,0.153443
-13.8593117,-40.0890322,0.153501
-24.3268924,-50.6321441,0.153723
-2.9404971,-48.9502703,0.153904
-22.1487257,-51.1686744,0.154067
-21.6090628,-48.3721416,0.154271
-28.4590332,-48.9817111,0.15439
-22.5721327,-44.9552836,0.154474
-22.7479202,-47.1668105,0.154981
-22.7382454,-45.1120426,0.155562
-21.932245,-50.5109297,0.155754
-22.9368022,-45.4657482,0.155922
-22.5306615,-41.9528738,0.156052
-21.4203033,-50.0758566,0.15616
-21.9119727,-47.6157399,0.156404
-21.4711932,-47.0078279,0.157537
-1.2926249,-47.9170619,0.15783
-24.0300008,-52.3847102,0.157907
-22.2351366,-54.7974591,0.157932
-9.6014739,-35.7474478,0.157973
-12.1352106,-38.4222351,0.157992
-10.8764034,-61.9392778,0.158179
-26.1719064,-50.3869982,0.158237
-26.4933211,-49.0995862,0.15842
-9.4151355,-36.6391408,0.158528
-25.4791188,-50.6505816,0.15869
-22.8107024,-47.2349205,0.158699
-21.4903514,-51.5375988,0.159301
-22.112585,-51.4077531,0.159707
-21.5959982,-46.9033988,0.15979
-8.7684484,-63.8559119,0.159803
-22.5766189,-47.4098857,0.15984
-11.7366996,-49.088404,0.160074
-20.3224842,-48.3162282,0.160154
-4.9455013,-47.486047,0.160215
-23.298962,-45.972227,0.160339
-22.7481317,-47.3983414,0.161042
-20.6693334,-43.7856071,0.161085
-21.538512,-49.855151,0.161131
-21.2076157,-47.8011744,0.161465
-22.9030608,-49.6283944,0.161476
-22.3866016,-41.7879836,0.161647
-23.0242786,-45.5776598,0.162091
-21.7555922,-41.3172211,0.162739
-28.2765912,-49.1568004,0.162764
-22.2218265,-51.3076343,0.16341
-24.9558989,-53.4525324,0.163545
-21.9815524,-46.7808004,0.16365
-20.2051062,-50.9258835,0.164105
-20.2699321,-50.5441086,0.164242
-22.1914061,-46.75923,0.164498
-24.2868621,-53.8383414,0.164828
-8.8394149,-48.5107715,0.165051
-7.2440608,-39.4029687,0.165127
-22.3208772,-49.0655194,0.165397
-18.981529,-49.4603996,0.165454
-13.3971295,-44.1986538,0.165686
-20.8051065,-49.3757571,0.165799
-11.1729796,-61.9062035,0.165872
-8.2641182,-35.0099127,0.165958
-10.274089,-48.3239195,0.167025
0.0482811,-51.0761657,0.167043
2.8081173,-60.7121806,0.167327
-20.4790909,-54.6137673,0.167333
-27.0986639,-52.64688,0.167609
-5.9991742,-40.2913673,0.167815
-21.7924084,-50.8816887,0.167861
-28.2566068,-52.4072756,0.168458
-21.8750549,-51.8451597,0.168534
-3.6567947,-45.3746577,0.168598
-21.2576727,-48.3200531,0.16919
-20.8976252,-51.3757811,0.169329
-21.7034239,-47.4885683,0.169595
-27.3587371,-53.3918582,0.16978
-21.1971313,-50.4405163,0.16978
-4.5659986,-45.1298122,0.170048
