Y,X,Z
-23.1155209,-55.2280019,0.170484
-16.4628954,-54.6275948,0.170762
-22.736596,-47.3137754,0.171145
-4.2246886,-44.7882383,0.17136
-25.5840201,-49.3959434,0.171521
-23.2870271,-51.2622647,0.171622
-22.7906505,-45.1735282,0.171976
-5.1460611,-38.0934875,0.172094
-22.9806936,-49.8730467,0.172168
-12.6669099,-39.1067965,0.172393
-10.1791439,-48.8954754,0.172635
-11.1838652,-40.5219783,0.172741
-21.7756199,-48.1560226,0.172824
-25.3815502,-51.4774825,0.172982
-12.1416137,-44.9908765,0.172986
-22.5471331,-47.9069473,0.174228
-25.0981117,-50.1644848,0.174379
-18.7216965,-39.8634396,0.174592
-23.31423,-51.3728361,0.17486
-24.7318789,-53.7396388,0.174977
-17.7466396,-48.61324,0.175004
-23.6649684,-52.6102249,0.175465
-12.4350293,-39.2530172,0.17581
-26.7828655,-51.0051294,0.175827
-21.5075767,-51.4376839,0.176843
-21.2172045,-43.7696023,0.177536
-15.6256129,-58.1784479,0.17763
-22.9143445,-47.0917768,0.177977
-22.7111183,-47.6506703,0.178116
-6.0744217,-49.8733471,0.178796
-23.5093183,-47.4635983,0.179667
-28.6870832,-49.3607967,0.179853
-23.7600661,-53.3050378,0.180148
-23.0789695,-52.4587794,0.180482
-23.5741506,-46.6085097,0.180637
-23.0957344,-47.7119158,0.181737
-22.4331284,-46.8164013,0.181777
-25.442003,-54.4061543,0.182263
-20.89304,-45.2725486,0.182722
-22.7481372,-50.3858583,0.182921
-21.2411159,-44.9989714,0.183055
-22.5362897,-55.7225905,0.183274
-4.4451173,-49.1105832,0.183502
-17.5616307,-52.5533487,0.1843
-10.7067636,-48.3943342,0.184944
-26.8738482,-52.4018361,0.184989
-2.524934,-45.0932081,0.185177
-0.0357653,-51.1711742,0.185278
-5.358874,-49.1087137,0.1857
-23.4181247,-51.9260015,0.186087
-25.464007,-49.5421533,0.186088
0.7032972,-51.404867,0.186655
-17.3533601,-44.9468168,0.186729
-11.7212507,-61.7821513,0.186862
-22.9401872,-47.2799756,0.187737
-20.1480013,-44.8887782,0.188026
-7.5201708,-46.0484017,0.188422
-16.1979622,-47.9378101,0.188727
-8.0411178,-50.0266354,0.189338
-29.6151978,-52.1924494,0.18957
-25.4424981,-49.2299696,0.190288
-21.6852541,-51.0741775,0.191493
-30.8774335,-55.525424,0.192167
-23.1567133,-47.0505367,0.192258
-19.9113067,-44.0166911,0.19299
-7.1820365,-48.2154174,0.193104
-4.2529278,-55.9990995,0.193678
-26.2434003,-51.0787681,0.193764
-23.2709612,-51.0504641,0.193803
-12.7123661,-38.3280413,0.194154
-21.3650028,-51.8583347,0.194446
-30.1211149,-51.3413523,0.194929
-23.3721314,-46.736239,0.195978
-8.2029243,-35.5687268,0.196486
-22.6898725,-46.9835244,0.19666
-4.462115,-43.8858171,0.19707
-19.4596641,-42.5509755,0.197121
-12.6703749,-38.5371195,0.197798
-15.8612561,-47.9583335,0.197807
-23.1936342,-47.2927161,0.198606
-11.4368576,-61.4513142,0.198778
-5.8463989,-35.2446042,0.199142
-9.8794219,-56.078627,0.199581
-23.276943,-47.6704247,0.199611
-23.1046539,-47.2245437,0.199738
-25.6829111,-48.4658575,0.199752
