Y,X,Treecover1985,Treecover1990,Treecover1995,Treecover2000,Treecover2005,Treecover2010,Treecover2015,Treecover2020
-20.6597273,-40.4966046,0.22951,0.30846,0.3452,0.34604,0.34851,0.353,0.326,0.38322
-19.3703086,-40.0555877,0.15868,0.1925,0.24501,0.19705,0.1938,0.18494,0.19342,0.22053
-18.7216965,-39.8634396,0.2015,0.2215,0.26332,0.2383,0.21875,0.24067,0.25331,0.30708
-20.172567,-40.2449678,0.24476,0.25788,0.28268,0.29684,0.31131,0.30405,0.3366,0.34336
-20.3439314,-40.3537045,0.233,0.27103,0.26479,0.26917,0.30854,0.33964,0.34835,0.37249
-16.3228485,-48.947403,0.12544,0.13822,0.15655,0.15374,0.16871,0.16985,0.18018,0.1741
-15.8612561,-47.9583335,0.19071,0.19763,0.14808,0.19575,0.20787,0.22264,0.24281,0.27152
-17.7466396,-48.61324,0.14326,0.15862,0.15119,0.18393,0.16276,0.18037,0.18257,0.19044
-18.1690413,-47.9425322,0.10519,0.1025,0.12564,0.10969,0.12403,0.12651,0.10298,0.0971
-15.5480502,-47.3250152,0.1127,0.12452,0.12292,0.10528,0.12924,0.1318,0.1195,0.12859
-15.3200881,-49.1222025,0.16463,0.18521,0.19803,0.19829,0.20707,0.21801,0.228,0.23682
-16.7084021,-49.2900314,0.17145,0.18324,0.18265,0.19484,0.20449,0.21125,0.23031,0.23793
-18.4115159,-49.2287801,0.11084,0.10349,0.12371,0.12545,0.11829,0.1328,0.13739,0.1191
-17.8792302,-51.7180954,0.15798,0.15829,0.17315,0.18086,0.16987,0.1782,0.18363,0.21785
-16.1979622,-47.9378101,0.15344,0.17604,0.18277,0.18606,0.18383,0.19542,0.23174,0.23359
-17.5616307,-52.5533487,0.17084,0.16762,0.17655,0.17731,0.17643,0.21755,0.19858,0.26816
-15.4525075,-47.6068322,0.09028,0.09986,0.10736,0.109,0.11412,0.11805,0.12699,0.11481
-4.9455013,-47.486047,0.19968,0.21992,0.25399,0.17486,0.25135,0.18983,0.18507,0.31574
-4.2246886,-44.7882383,0.21421,0.21536,0.18009,0.23261,0.21887,0.239,0.1851,0.24678
-7.5201708,-46.0484017,0.20712,0.22165,0.23399,0.23355,0.24161,0.25711,0.2615,0.20079
-4.8611412,-43.3487235,0.30809,0.28279,0.29612,0.32283,0.33113,0.36165,0.30368,0.32182
-3.7295748,-43.3495148,0.23001,0.27082,0.28929,0.32,0.30409,0.30152,0.27742,0.30948
-4.462115,-43.8858171,0.21217,0.25073,0.269,0.26935,0.24726,0.2676,0.19249,0.17984
-5.5192044,-47.4668048,0.17134,0.21287,0.21664,0.23351,0.24764,0.26817,0.24876,0.27815
-4.5659986,-45.1298122,0.21924,0.1677,0.18601,0.16757,0.1645,0.19882,0.24125,0.22501
-2.524934,-45.0932081,0.21256,0.2328,0.23926,0.27403,0.24743,0.27443,0.26006,0.26417
-6.3480548,-47.3906274,0.20336,0.22782,0.21257,0.2462,0.27718,0.26003,0.23086,0.19956
-3.6567947,-45.3746577,0.1887,0.21866,0.21182,0.22705,0.19454,0.22436,0.19657,0.21632
-2.5414181,-44.2297116,0.19496,0.196,0.20496,0.24863,0.30368,0.29421,0.29268,0.32393
-4.5674183,-44.6064596,0.2964,0.21985,0.23044,0.26635,0.23834,0.28665,0.31262,0.26143
-21.4192548,-45.9551735,0.13438,0.11822,0.12323,0.13311,0.15642,0.17472,0.15862,0.14725
-18.6485027,-48.192506,0.17076,0.19705,0.16185,0.1526,0.15249,0.16824,0.13928,0.13194
-19.5900856,-46.937082,0.13221,0.13487,0.21861,0.16041,0.16261,0.18436,0.20377,0.15622
-20.2874311,-45.5430467,0.13494,0.14758,0.13793,0.16585,0.15016,0.12917,0.16765,0.15742
-21.2172045,-43.7696023,0.19591,0.2291,0.22176,0.23111,0.25037,0.23756,0.23537,0.24589
-19.9113067,-44.0166911,0.18214,0.21506,0.22542,0.25383,0.27211,0.2937,0.31027,0.34404
-20.89304,-45.2725486,0.19494,0.2161,0.27369,0.262,0.25092,0.25437,0.25792,0.26564
-20.6693334,-43.7856071,0.20393,0.22194,0.20818,0.2018,0.22789,0.2443,0.21586,0.21283
-20.1480013,-44.8887782,0.20803,0.22783,0.23086,0.26735,0.27564,0.25132,0.25908,0.27053
-18.8743414,-41.9664846,0.23066,0.23784,0.25576,0.25871,0.27831,0.31757,0.28906,0.3156
-19.4596641,-42.5509755,0.21316,0.26245,0.27054,0.2663,0.269,0.2806,0.30312,0.30925
-20.079012,-44.5822714,0.1752,0.17019,0.13941,0.21855,0.20796,0.22434,0.19852,0.20634
-18.981529,-49.4603996,0.16257,0.18334,0.16809,0.18403,0.18095,0.19467,0.16627,0.16259
-15.478727,-44.3713425,0.21966,0.19648,0.22031,0.23243,0.20775,0.2294,0.20715,0.22057
-21.7484191,-43.366925,0.23935,0.25263,0.25679,0.29878,0.30143,0.32183,0.31345,0.33405
-20.0243269,-45.5387257,0.11227,0.08184,0.09343,0.11166,0.12037,0.09363,0.14357,0.14852
-21.2411159,-44.9989714,0.22053,0.21699,0.23585,0.22147,0.26671,0.25981,0.24957,0.28332
-16.7246347,-43.8792457,0.19102,0.24055,0.25548,0.28325,0.27318,0.27114,0.31955,0.32776
-19.87183,-44.9886636,0.15341,0.14248,0.1405,0.14264,0.16202,0.16656,0.19966,0.23152
-17.2232416,-46.8713947,0.15469,0.18259,0.20751,0.17463,0.13459,0.12904,0.16073,0.16245
-20.7257633,-46.6103735,0.11714,0.11837,0.1603,0.13536,0.13916,0.12584,0.15298,0.12936
-18.5951315,-46.5101065,0.13248,0.15203,0.15582,0.15806,0.15971,0.15995,0.17688,0.15827
-17.3533601,-44.9468168,0.20886,0.21326,0.18366,0.20316,0.20443,0.21176,0.19412,0.2112
-21.7951646,-46.5498488,0.18147,0.21853,0.21704,0.22155,0.22957,0.26541,0.26667,0.2346
-22.2483122,-45.9265651,0.12899,0.17128,0.16295,0.18951,0.20409,0.20951,0.23502,0.22528
